Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
XJ70RD,2024-08-23 03:04:08,DevOps/Infra,C++; C#; Kotlin,Cursos online; Cursos presenciais; Hackathons,Consultoria; Multinacional,Docker; GitHub; Azure; PyCharm; AWS,Outro,Ensinar; Comunidade; Impacto,Falta de requisitos; Escalabilidade; Dados ruins; Mudanças constantes; Segurança,Swift; Cloud GCP; Flutter; Kubernetes; Data Science,Comunidade; Trabalho remoto
PA19KF,2024-04-23 01:18:00,UX/UI,Go; Python,Comunidades/Fóruns; Cursos online; Graduação; Documentação oficial,Laboratório; Presencial; Híbrido; Times pequenos; Academia,Kubernetes; GitHub; PyCharm; Docker; Eclipse,Uso semanalmente,Carreira; Comunidade; Desafio,Débito técnico; Teste/QA; Segurança; Falta de requisitos; Documentação,Go; Flutter; Kotlin,Desafios; Boas oportunidades; Paixão; Mercado aquecido; Flexibilidade
TP72NL,2024-06-20 22:27:31,Desenvolvedor Sênior,C++; Kotlin; R; Python; SQL,Hackathons; Pós-graduação,Empresa grande; Consultoria; Híbrido,Eclipse; IntelliJ; AWS,Uso raramente,Aprender; Comunidade; Pesquisa,Falta de requisitos; Gerenciar tempo; Comunicação; Dados ruins; Escalabilidade,Data Science; Kotlin; Cloud Azure; Cloud GCP; Node.js,Impacto social; Curiosidade; Remuneração
AI77DZ,2024-04-20 06:23:58,Desenvolvedor Pleno,Rust; Dart,Comunidades/Fóruns; Documentação oficial; Hackathons; Trabalho/Prática,Remoto; Times grandes; Clima flexível,Eclipse; Bitbucket; GitLab; Vim/Neovim,Uso em produção,Reconhecimento; Resolver problemas; Desafio; Aprender; Criatividade,Deploy; Mudanças constantes; Bugs difíceis; Complexidade do código,React; Kotlin,Flexibilidade; Desafios
VE61WS,2024-07-29 22:17:52,Outro,Python; SQL; C++; R,Hackathons; Tutoriais YouTube; Blogs/Artigos; Mentoria,Open source; Consultoria,Bitbucket; Docker; Eclipse,Uso diariamente,Pesquisa; Dinheiro; Reconhecimento,Escalabilidade; Segurança; Ferramentas novas; Bugs difíceis; Complexidade do código,Node.js; Cloud Azure; Kubernetes; Flutter,Boas oportunidades; Flexibilidade; Empreender; Remuneração; Paixão
SO24VJ,2024-12-31 18:58:05,Analista de Dados,Dart; TypeScript; Go; Ruby; SQL,Tutoriais YouTube; Livros; Documentação oficial; Hackathons; Projetos pessoais,Presencial; Multinacional; Academia; Startup; Times pequenos,GitHub; Eclipse; Azure,Uso diariamente,Ensinar; Pesquisa; Reconhecimento; Comunidade,Deploy; Falta de requisitos; Comunicação; Infraestrutura,Rust; Data Science; Go,Desafios; Empreender; Ensinar; Trabalho remoto; Impacto social
YU81HU,2024-06-29 12:53:14,Outro,R; Kotlin,Hackathons; Projetos pessoais,Times grandes; Remoto; Startup,AWS; Kubernetes,Uso para documentação,Aprender; Reconhecimento; Impacto,Documentação; Débito técnico; Comunicação,Go; Node.js,Boas oportunidades; Remuneração
XA79OO,2024-03-14 02:27:53,Professor,Rust; C++; Java; Go; Python,Cursos online; Pós-graduação,Remoto; Academia; Open source,Jupyter; Azure,Uso diariamente,Criatividade; Desafio; Impacto,Gerenciar tempo; Dados ruins; Débito técnico; Teste/QA,React; Data Science; Go,Curiosidade; Crescimento pessoal; Pesquisa; Comunidade
BQ77DG,2024-08-04 20:12:11,Empreendedor,SQL; Go; Ruby; C#,Projetos pessoais; Tutoriais YouTube,Multinacional; Presencial; Empresa grande; Remoto,GitHub; Kubernetes; AWS; Vim/Neovim; GitLab,Uso em produção,Dinheiro; Autonomia; Impacto; Reconhecimento; Criatividade,Escalabilidade; Ferramentas novas; Falta de requisitos; Teste/QA,Data Science; Go; Cloud AWS,Desafios; Empreender; Reconhecimento; Remuneração; Crescimento pessoal
CG67BJ,2024-01-01 05:20:39,Desenvolvedor Sênior,Rust; SQL; Go; Swift; TypeScript,Outros; Comunidades/Fóruns; Livros; Trabalho/Prática; Blogs/Artigos,Clima flexível; Governo; Times pequenos; Multinacional,GitLab; Vim/Neovim; AWS; Docker; IntelliJ,Uso para testes,Impacto; Inovação; Aprender; Dinheiro; Resolver problemas,Segurança; Falta de requisitos; Complexidade do código; Teste/QA,Kubernetes; Blockchain; Cloud GCP; DevOps; IA/ML,Flexibilidade; Boas oportunidades; Ensinar; Paixão
TT67WC,2024-07-21 19:22:21,Desenvolvedor Sênior,Rust; SQL; PHP,Trabalho/Prática; Mentoria; Pós-graduação; Graduação; Documentação oficial,Empresa grande; Remoto,Azure; Figma; GitLab; Eclipse,Uso semanalmente,Resolver problemas; Impacto; Inovação,Falta de requisitos; Documentação; Débito técnico,Kubernetes; Swift; Go; IA/ML; Blockchain,Remuneração; Flexibilidade
TI23BW,2024-10-14 20:58:22,Desenvolvedor Júnior,C++; Rust,Bootcamp; Graduação; Pós-graduação; Documentação oficial; Hackathons,Governo; Times pequenos; Startup; Open source; Academia,Vim/Neovim; GitLab; Kubernetes; GitHub,Uso com copilotos,Pesquisa; Impacto; Desafio; Criatividade; Propósito,Escalabilidade; Mudanças constantes; Ferramentas novas,Blockchain; Go; Kotlin,Remuneração; Paixão
AV30WU,2024-01-20 01:07:31,Outro,R; C++; SQL; C#; Kotlin,Pós-graduação; Trabalho/Prática; Outros; Mentoria,Consultoria; Clima flexível; Multinacional; Times grandes,GCP; PyCharm; Figma,Uso com copilotos,Carreira; Inovação,Gerenciar tempo; Teste/QA; Bugs difíceis; Escalabilidade; Débito técnico,Blockchain; Cloud GCP,Pesquisa; Impacto social; Mercado aquecido; Boas oportunidades
HF86BL,2024-02-16 04:43:18,Analista de Dados,Swift; TypeScript; Python; Ruby,Documentação oficial; Tutoriais YouTube; Outros; Pós-graduação,Laboratório; Governo; Times pequenos; Open source,GCP; Kubernetes,Nunca uso,Criatividade; Ensinar; Aprender; Carreira; Pesquisa,Documentação; Mudanças constantes; Dados ruins; Complexidade do código; Infraestrutura,Kotlin; Rust; IA/ML; Kubernetes,Flexibilidade; Ensinar
GX46QW,2024-03-05 12:24:28,Estagiário,JavaScript; TypeScript; Dart; C++,Documentação oficial; Cursos online,Open source; Times grandes; Consultoria,VS Code; Figma,Uso para gerar código,Estabilidade; Autonomia,Complexidade do código; Comunicação,Kubernetes; Swift,Reconhecimento; Flexibilidade; Empreender; Crescimento pessoal
EK34SK,2024-11-04 03:58:15,UX/UI,Java; SQL; Swift; C#,Tutoriais YouTube; Comunidades/Fóruns; Livros; Blogs/Artigos; Projetos pessoais,Academia; Times grandes; Startup; Laboratório; Híbrido,AWS; Azure; GitLab; GitHub; Eclipse,Uso em produção,Dinheiro; Criatividade,Comunicação; Segurança,DevOps; Go,Mercado aquecido; Curiosidade; Paixão; Crescimento pessoal; Pesquisa
MX21HI,2024-02-12 14:14:27,UX/UI,R; JavaScript; C#,Livros; Pós-graduação; Cursos online; Tutoriais YouTube; Trabalho/Prática,Clima flexível; Laboratório; Remoto,IntelliJ; Eclipse; Jupyter; GCP,Uso para ideias,Dinheiro; Desafio; Pesquisa; Propósito; Resolver problemas,Débito técnico; Dados ruins,Flutter; Swift; Node.js,Flexibilidade; Reconhecimento
EC63NI,2024-12-28 00:22:16,DevOps/Infra,Dart; PHP; TypeScript,Mentoria; Graduação; Tutoriais YouTube,Times pequenos; Multinacional; Startup,AWS; Azure; GitLab; GCP,Uso para revisar código,Dinheiro; Propósito,Mudanças constantes; Escalabilidade,DevOps; Blockchain; IA/ML; Kotlin; Rust,Impacto social; Empreender; Remuneração; Crescimento pessoal
FU74PT,2024-02-24 07:27:03,UX/UI,TypeScript; C#; Java; Python,Outros; Livros; Bootcamp,Laboratório; Open source; Multinacional; Times pequenos; Freelancer,Kubernetes; IntelliJ; Docker,Nunca uso,Impacto; Estabilidade; Resolver problemas,Bugs difíceis; Gerenciar tempo; Dados ruins; Ferramentas novas,Blockchain; Kotlin; Kubernetes; Data Science; Swift,Crescimento pessoal; Empreender; Remuneração; Ensinar
UZ73OM,2024-12-20 10:45:58,Produto/PO,TypeScript; C++; Java; Python,Mentoria; Pós-graduação; Cursos online; Bootcamp,Clima flexível; Open source,GitLab; Azure; Eclipse; IntelliJ,Uso raramente,Estabilidade; Dinheiro; Carreira,Documentação; Comunicação,DevOps; Node.js; Cloud AWS; React; Cloud Azure,Ensinar; Pesquisa; Empreender; Crescimento pessoal
QK46PB,2024-03-26 17:17:07,Produto/PO,Python; C#,Outros; Blogs/Artigos; Cursos presenciais; Livros; Trabalho/Prática,Freelancer; Academia,Bitbucket; Jupyter; GitLab; GitHub; VS Code,Crio prompts avançados,Reconhecimento; Aprender; Desafio; Resolver problemas,Complexidade do código; Comunicação; Mudanças constantes; Dados ruins,Flutter; Cloud Azure,Boas oportunidades; Reconhecimento; Remuneração; Comunidade; Empreender
IM34UH,2024-09-22 15:49:49,Pesquisador,Rust; R,Pós-graduação; Cursos presenciais,Times grandes; Governo; Multinacional; Times pequenos,GCP; Jupyter; GitHub,Nunca uso,Aprender; Carreira,Comunicação; Bugs difíceis; Mudanças constantes; Gerenciar tempo; Deploy,Flutter; Go; Node.js; Cloud AWS; React,Comunidade; Pesquisa; Paixão; Boas oportunidades
CT31FT,01/03/2024 10:25,Professor,PHP; Rust,Cursos online; Cursos presenciais,Startup; Governo; Academia,Kubernetes; Eclipse,Crio prompts avançados,Inovação; Ensinar; Propósito; Carreira; Aprender,Ferramentas novas; Dados ruins; Documentação,IA/ML; Data Science; Cloud AWS; Node.js,Paixão; Remuneração
JI33US,05/02/2024 17:38,Produto/PO,SQL; Rust,Documentação oficial; Bootcamp,Academia; Startup; Laboratório; Híbrido,Azure; Eclipse,Treino modelos,Autonomia; Dinheiro; Desafio; Resolver problemas,Infraestrutura; Falta de requisitos; Comunicação; Documentação; Segurança,Node.js; Data Science; Kotlin; React,Comunidade; Flexibilidade
NG59JZ,09/02/2024 02:55,Professor,Ruby; Go; Dart,Pós-graduação; Comunidades/Fóruns,Times pequenos; Multinacional,GitHub; IntelliJ; Eclipse; AWS; GitLab,Uso diariamente,Comunidade; Pesquisa; Impacto; Inovação; Autonomia,Segurança; Escalabilidade; Ferramentas novas; Mudanças constantes,Swift; Rust; Flutter; Cloud Azure,Reconhecimento; Mercado aquecido; Boas oportunidades; Desafios; Impacto social
TW19QU,05/02/2024 11:17,DevOps/Infra,Rust; SQL,Documentação oficial; Bootcamp; Outros; Cursos online; Blogs/Artigos,Open source; Governo,Jupyter; Azure; GitLab; IntelliJ,Uso em produção,Estabilidade; Inovação; Aprender; Impacto social; Comunidade,Mudanças constantes; Débito técnico; Segurança; Teste/QA,Cloud Azure; Kotlin,Trabalho remoto; Flexibilidade; Desafios; Comunidade
DT69YX,10/02/2024 09:15,Estagiário,C++; Python; JavaScript; Go,Pós-graduação; Cursos online; Outros; Livros,Híbrido; Laboratório,Figma; IntelliJ; Jupyter; Kubernetes; PyCharm,Uso semanalmente,Estabilidade; Carreira; Criatividade; Propósito; Reconhecimento,Teste/QA; Mudanças constantes; Débito técnico,Swift; React; Flutter,Impacto social; Desafios; Propósito; Paixão
FI75OP,12/02/2024 14:46,Estagiário,Swift; Ruby,Pós-graduação; Cursos presenciais,Times grandes; Multinacional,Kubernetes; Eclipse,Uso em produção,Reconhecimento; Criatividade; Autonomia; Impacto social; Propósito,Escalabilidade; Débito técnico; Falta de requisitos; Dados ruins; Teste/QA,DevOps; Kotlin,Reconhecimento; Remuneração; Trabalho remoto; Impacto social; Curiosidade
ZC51SU,02/03/2024 01:44,Desenvolvedor Júnior,Java; SQL; C#,Graduação; Trabalho/Prática; Outros; Bootcamp; Projetos pessoais,Times grandes; Híbrido; Freelancer,VS Code; Azure,Uso para revisar código,Autonomia; Pesquisa,Segurança; Dados ruins; Falta de requisitos,Data Science; Cloud Azure; Flutter; Kubernetes; IA/ML,Curiosidade; Remuneração; Crescimento pessoal; Impacto social; Empreender
SS71RM,20/02/2024 14:02,Desenvolvedor Sênior,Java; Python; PHP; Swift,Tutoriais YouTube; Mentoria,Remoto; Academia,Kubernetes; Figma; Vim/Neovim; PyCharm; VS Code,Uso para revisar código,Estabilidade; Resolver problemas,Comunicação; Gerenciar tempo,Flutter; DevOps; Rust,Comunidade; Propósito; Curiosidade
CR72NY,29/02/2024 12:31,Desenvolvedor Sênior,Java; Kotlin; Rust; TypeScript,Projetos pessoais; Mentoria; Hackathons; Cursos presenciais,Freelancer; Academia,IntelliJ; Kubernetes,Uso diariamente,Carreira; Pesquisa; Estabilidade; Resolver problemas,Documentação; Infraestrutura; Segurança,Cloud Azure; Go; Swift; React; Rust,Flexibilidade; Trabalho remoto
HR17GX,26/02/2024 13:46,Pesquisador,Kotlin; SQL; PHP,Tutoriais YouTube; Mentoria; Pós-graduação,Governo; Freelancer; Empresa grande; Remoto,Azure; Bitbucket,Uso para testes,Resolver problemas; Aprender; Estabilidade; Comunidade,Comunicação; Infraestrutura; Segurança,Go; Swift; Flutter; Cloud GCP; Kubernetes,Paixão; Ensinar
OV74OL,08/02/2024 02:48,Estagiário,Go; Dart; Python; SQL,Blogs/Artigos; Pós-graduação; Outros,Multinacional; Times pequenos,AWS; GCP; PyCharm; Eclipse; Jupyter,Treino modelos,Dinheiro; Aprender; Autonomia,Débito técnico; Dados ruins; Teste/QA; Comunicação,React; IA/ML; Cloud AWS,Remuneração; Trabalho remoto
WF58JV,03/02/2024 02:17,Outro,Java; Python; Ruby,Trabalho/Prática; Mentoria; Bootcamp,Times pequenos; Empresa grande,Azure; Kubernetes; Bitbucket; Vim/Neovim,Uso para testes,Aprender; Resolver problemas; Carreira; Autonomia,Bugs difíceis; Deploy; Complexidade do código; Dados ruins,Swift; Cloud AWS; Node.js; Flutter,Remuneração; Comunidade
GS00NU,09/02/2024 23:37,Professor,Go; Rust; JavaScript,Livros; Mentoria; Blogs/Artigos; Cursos presenciais,Governo; Empresa grande; Open source; Consultoria,Bitbucket; GCP; GitHub; Kubernetes,Uso semanalmente,Dinheiro; Impacto; Reconhecimento,Complexidade do código; Teste/QA; Infraestrutura,Go; Cloud Azure; Kubernetes; React; Swift,Remuneração; Empreender; Comunidade
RM56RN,28/02/2024 22:38,Empreendedor,Ruby; JavaScript; Kotlin,Cursos presenciais; Comunidades/Fóruns; Hackathons; Pós-graduação,Startup; Times pequenos; Clima flexível; Presencial,VS Code; Eclipse,Uso para documentação,Pesquisa; Reconhecimento,Ferramentas novas; Teste/QA; Dados ruins,Flutter; Data Science; IA/ML; Kotlin; Kubernetes,Empreender; Remuneração
EY66MO,11/02/2024 07:01,Outro,C++; TypeScript,Blogs/Artigos; Documentação oficial; Comunidades/Fóruns; Livros; Mentoria,Academia; Times grandes; Laboratório; Governo; Consultoria,Vim/Neovim; PyCharm; GCP; Docker; Jupyter,Uso em produção,Criatividade; Comunidade; Pesquisa,Comunicação; Escalabilidade; Infraestrutura; Falta de requisitos; Deploy,Data Science; React; Node.js; Cloud AWS,Boas oportunidades; Propósito
JD27BK,11/02/2024 20:35,Produto/PO,Rust; Python; Java; SQL; Swift,Comunidades/Fóruns; Hackathons,Freelancer; Remoto; Multinacional; Empresa grande; Consultoria,Kubernetes; GCP; Figma; Vim/Neovim; AWS,Outro,Ensinar; Desafio; Carreira,Falta de requisitos; Bugs difíceis; Dados ruins; Documentação; Comunicação,Swift; IA/ML; Blockchain; Cloud Azure; Rust,Propósito; Remuneração
OA82LW,28/02/2024 06:30,Desenvolvedor Pleno,Kotlin; Rust,Pós-graduação; Projetos pessoais; Mentoria; Hackathons,Empresa grande; Times pequenos; Consultoria; Clima flexível; Híbrido,VS Code; GCP; Kubernetes; Vim/Neovim; GitLab,Uso diariamente,Resolver problemas; Comunidade,Escalabilidade; Teste/QA,Rust; IA/ML,Boas oportunidades; Impacto social; Flexibilidade
OF89GJ,06/02/2024 12:56,UX/UI,Dart; R,Bootcamp; Cursos presenciais; Livros,Clima flexível; Empresa grande,Bitbucket; GCP; Eclipse; IntelliJ; AWS,Crio prompts avançados,Desafio; Impacto social; Comunidade,Gerenciar tempo; Comunicação; Complexidade do código; Deploy,Node.js; Go,Flexibilidade; Reconhecimento; Paixão; Desafios; Propósito
AK62CY,16/02/2024 20:42,Professor,Swift; TypeScript; Rust; R; C#,Livros; Hackathons; Documentação oficial; Projetos pessoais,Consultoria; Times grandes; Laboratório; Academia; Empresa grande,Figma; Eclipse; IntelliJ; GitHub,Outro,Inovação; Comunidade; Ensinar; Propósito; Pesquisa,Documentação; Bugs difíceis; Falta de requisitos; Teste/QA; Segurança,Data Science; Node.js; Cloud AWS; React; Cloud Azure,Propósito; Comunidade; Ensinar; Crescimento pessoal
AY10GK,26/02/2024 15:04,Produto/PO,Swift; C++; Ruby,Projetos pessoais; Hackathons; Cursos online; Cursos presenciais; Bootcamp,Consultoria; Laboratório; Startup,Azure; AWS; GitLab; Docker,Uso para revisar código,Dinheiro; Impacto social; Criatividade; Estabilidade,Ferramentas novas; Falta de requisitos; Infraestrutura; Débito técnico,Data Science; DevOps; Swift; Cloud GCP,Paixão; Ensinar; Desafios; Trabalho remoto
ET35SZ,09/02/2024 18:13,Produto/PO,JavaScript; R; Java; Kotlin,Mentoria; Graduação; Bootcamp,Laboratório; Governo,GitHub; VS Code; Figma,Uso para revisar código,Carreira; Impacto; Dinheiro; Comunidade,Deploy; Gerenciar tempo; Bugs difíceis; Complexidade do código; Infraestrutura,Blockchain; Cloud GCP; Node.js; IA/ML; Kubernetes,Trabalho remoto; Impacto social; Paixão; Empreender
MP87BD,19/02/2024 13:40,UX/UI,JavaScript; Java; SQL; C#,Livros; Outros; Hackathons; Comunidades/Fóruns; Pós-graduação,Freelancer; Clima flexível; Empresa grande; Academia; Consultoria,AWS; Vim/Neovim; VS Code; Figma,Crio prompts avançados,Reconhecimento; Impacto,Infraestrutura; Comunicação; Deploy,Data Science; IA/ML; Go,Boas oportunidades; Curiosidade
LP37AH,19/02/2024 22:12,Analista de Dados,JavaScript; Ruby; Java; Kotlin; R,Trabalho/Prática; Cursos presenciais; Documentação oficial,Open source; Presencial; Empresa grande,IntelliJ; VS Code; PyCharm,Treino modelos,Propósito; Inovação; Resolver problemas; Pesquisa,Ferramentas novas; Dados ruins; Infraestrutura; Mudanças constantes,Blockchain; DevOps; Rust; Kubernetes; Flutter,Comunidade; Crescimento pessoal; Curiosidade; Paixão
ZV73PA,11/02/2024 18:02,Empreendedor,PHP; Python; Dart; TypeScript,Documentação oficial; Blogs/Artigos; Projetos pessoais; Bootcamp; Graduação,Open source; Times grandes; Freelancer; Híbrido; Times pequenos,Bitbucket; GitLab; Figma; Azure,Uso raramente,Impacto; Reconhecimento; Impacto social,Infraestrutura; Comunicação; Dados ruins; Mudanças constantes; Bugs difíceis,DevOps; Node.js; React; Cloud Azure; Cloud GCP,Trabalho remoto; Desafios; Curiosidade; Flexibilidade; Propósito
KE46QM,22/02/2024 08:36,QA/Testes,Java; Kotlin,Outros; Bootcamp; Projetos pessoais,Híbrido; Remoto; Open source; Academia; Startup,GitHub; Kubernetes; VS Code,Uso para revisar código,Autonomia; Desafio; Dinheiro; Resolver problemas; Inovação,Comunicação; Gerenciar tempo,Blockchain; Swift; React,Remuneração; Trabalho remoto; Impacto social; Empreender
LD24XN,12/02/2024 10:13,Desenvolvedor Pleno,Kotlin; Dart,Mentoria; Hackathons; Documentação oficial; Bootcamp; Cursos online,Laboratório; Empresa grande; Academia; Times pequenos,Figma; PyCharm; Docker; Kubernetes; Jupyter,Uso para depurar,Comunidade; Inovação; Estabilidade; Desafio,Complexidade do código; Dados ruins; Escalabilidade,Kubernetes; Node.js; Swift; Blockchain; Flutter,Flexibilidade; Empreender; Propósito; Boas oportunidades; Impacto social
DZ42WW,03/02/2024 00:26,QA/Testes,C#; C++,Tutoriais YouTube; Graduação,Times grandes; Open source; Presencial; Híbrido; Freelancer,GitLab; AWS; GCP; Bitbucket,Uso com copilotos,Impacto; Dinheiro,Documentação; Comunicação; Ferramentas novas; Falta de requisitos; Mudanças constantes,Rust; DevOps,Flexibilidade; Propósito; Crescimento pessoal
TL12TS,11/02/2024 16:28,Desenvolvedor Júnior,TypeScript; Swift; Kotlin; Python; R,Hackathons; Cursos online; Bootcamp; Mentoria,Consultoria; Presencial; Startup; Governo,AWS; Azure; Jupyter; PyCharm; GCP,Uso semanalmente,Comunidade; Propósito,Falta de requisitos; Complexidade do código; Segurança,Blockchain; Kotlin; React,Crescimento pessoal; Flexibilidade; Curiosidade; Impacto social; Propósito
EL44ZH,26/02/2024 05:01,DevOps/Infra,C++; R; Kotlin; Java,Comunidades/Fóruns; Projetos pessoais; Cursos presenciais; Pós-graduação; Trabalho/Prática,Academia; Empresa grande; Laboratório; Times grandes,Figma; Azure,Uso para gerar código,Aprender; Propósito; Dinheiro; Impacto,Teste/QA; Complexidade do código,Cloud Azure; React; Cloud AWS; Data Science; Rust,Mercado aquecido; Flexibilidade; Propósito; Comunidade
RS84RD,12/02/2024 17:45,Desenvolvedor Júnior,Kotlin; Dart,Cursos online; Livros; Mentoria; Tutoriais YouTube; Graduação,Clima flexível; Empresa grande,GCP; Bitbucket; PyCharm; Eclipse,Uso semanalmente,Criatividade; Dinheiro; Autonomia; Carreira,Débito técnico; Infraestrutura; Ferramentas novas; Documentação; Deploy,DevOps; IA/ML; Cloud AWS; Data Science; Kotlin,Trabalho remoto; Empreender; Desafios; Reconhecimento; Paixão
AN58JT,19/02/2024 06:58,Analista de Dados,R; Ruby; Go; JavaScript; SQL,Projetos pessoais; Cursos online; Livros,Clima flexível; Academia; Startup; Open source,Azure; Figma,Uso para documentação,Dinheiro; Resolver problemas; Autonomia; Aprender,Infraestrutura; Falta de requisitos,DevOps; Data Science,Remuneração; Impacto social; Reconhecimento
KT19XR,25/02/2024 22:02,Outro,PHP; Rust; Kotlin; Python; Go,Projetos pessoais; Outros; Pós-graduação,Híbrido; Open source; Multinacional; Governo,VS Code; Bitbucket; GitHub; Eclipse,Uso raramente,Autonomia; Impacto; Desafio; Pesquisa; Comunidade,Bugs difíceis; Débito técnico,Data Science; IA/ML; Cloud AWS; Rust,Paixão; Trabalho remoto; Empreender
FF29ID,26/02/2024 13:20,UX/UI,Kotlin; R,Graduação; Documentação oficial; Bootcamp,Híbrido; Open source; Remoto,VS Code; GitLab; Jupyter,Treino modelos,Impacto; Aprender; Autonomia,Bugs difíceis; Segurança; Ferramentas novas; Dados ruins,Swift; DevOps,Impacto social; Empreender; Reconhecimento; Desafios; Comunidade
LF78BU,06/02/2024 07:06,Outro,C++; Ruby; Python; Dart,Comunidades/Fóruns; Trabalho/Prática; Outros; Blogs/Artigos; Cursos presenciais,Laboratório; Freelancer; Híbrido; Times pequenos; Multinacional,IntelliJ; PyCharm; GitHub,Uso para ideias,Comunidade; Propósito; Criatividade; Carreira,Mudanças constantes; Complexidade do código; Dados ruins; Deploy; Ferramentas novas,Flutter; Blockchain; Data Science,Reconhecimento; Trabalho remoto; Impacto social; Remuneração; Ensinar
II32JD,05/02/2024 15:51,QA/Testes,JavaScript; R,Cursos presenciais; Trabalho/Prática,Laboratório; Clima flexível,Jupyter; PyCharm; Kubernetes; VS Code,Uso para ideias,Desafio; Reconhecimento; Estabilidade; Impacto,Gerenciar tempo; Ferramentas novas; Bugs difíceis; Infraestrutura; Complexidade do código,Node.js; DevOps; Rust; Go,Boas oportunidades; Flexibilidade; Impacto social
WJ71JT,11/02/2024 12:56,UX/UI,Dart; Rust; C#,Livros; Blogs/Artigos,Remoto; Presencial; Empresa grande; Laboratório,Vim/Neovim; GitLab; Figma; VS Code,Uso semanalmente,Comunidade; Resolver problemas; Autonomia,Deploy; Ferramentas novas,Flutter; Cloud GCP; Blockchain,Boas oportunidades; Reconhecimento; Crescimento pessoal; Ensinar
UO10WE,16/02/2024 02:18,Empreendedor,Ruby; JavaScript,Projetos pessoais; Blogs/Artigos; Trabalho/Prática; Outros,Consultoria; Empresa grande; Startup; Governo; Híbrido,Bitbucket; IntelliJ; GitHub; Azure,Uso com copilotos,Propósito; Aprender; Desafio; Reconhecimento; Ensinar,Bugs difíceis; Escalabilidade,Data Science; Cloud AWS; IA/ML; React,Reconhecimento; Paixão; Curiosidade; Impacto social
EJ90FO,20/02/2024 22:23,Professor,JavaScript; Rust; Swift; Python,Cursos online; Projetos pessoais; Cursos presenciais; Mentoria; Livros,Academia; Consultoria; Laboratório; Open source; Times grandes,IntelliJ; Bitbucket; VS Code; GitLab,Uso semanalmente,Impacto social; Resolver problemas; Reconhecimento; Pesquisa; Desafio,Complexidade do código; Dados ruins; Mudanças constantes; Deploy; Gerenciar tempo,Swift; Node.js; Data Science; Cloud Azure,Paixão; Desafios; Flexibilidade
NF99JS,06/02/2024 12:32,Outro,Java; JavaScript; TypeScript,Pós-graduação; Graduação; Livros; Comunidades/Fóruns,Presencial; Times pequenos,Docker; Jupyter; AWS; Figma; Vim/Neovim,Uso com copilotos,Impacto; Autonomia; Inovação; Resolver problemas,Falta de requisitos; Comunicação; Infraestrutura; Débito técnico; Complexidade do código,Node.js; Go,Crescimento pessoal; Impacto social
AJ36BW,21/02/2024 21:36,Outro,PHP; SQL,Projetos pessoais; Livros; Documentação oficial; Tutoriais YouTube; Cursos online,Clima flexível; Times pequenos; Academia; Open source; Startup,AWS; Docker; Kubernetes; PyCharm,Nunca uso,Desafio; Comunidade; Dinheiro; Estabilidade; Impacto social,Mudanças constantes; Comunicação,Kubernetes; Data Science; Swift,Impacto social; Desafios; Trabalho remoto; Comunidade; Boas oportunidades
JH52UR,17/02/2024 21:28,Estagiário,JavaScript; Go; SQL; C#,Bootcamp; Outros; Tutoriais YouTube; Blogs/Artigos; Livros,Multinacional; Híbrido; Academia,Vim/Neovim; GitLab; GitHub,Uso com copilotos,Carreira; Propósito; Impacto social; Resolver problemas; Ensinar,Comunicação; Débito técnico; Documentação; Segurança; Teste/QA,Kotlin; Cloud GCP,Desafios; Reconhecimento; Curiosidade; Trabalho remoto; Crescimento pessoal
YI98MF,09/02/2024 12:53,Desenvolvedor Pleno,JavaScript; Kotlin; Dart,Documentação oficial; Hackathons,Open source; Multinacional,AWS; Bitbucket; PyCharm,Uso semanalmente,Estabilidade; Impacto social; Inovação,Dados ruins; Documentação,Blockchain; Rust; React,Mercado aquecido; Desafios; Propósito; Crescimento pessoal; Impacto social
JY56MH,10/02/2024 03:55,DevOps/Infra,TypeScript; R; Java; PHP; SQL,Cursos online; Blogs/Artigos; Projetos pessoais; Mentoria,Laboratório; Times grandes,GitHub; IntelliJ,Treino modelos,Criatividade; Inovação; Ensinar,Gerenciar tempo; Dados ruins; Deploy,Cloud Azure; Blockchain; Node.js,Remuneração; Curiosidade
NG10JA,19/02/2024 09:02,Desenvolvedor Júnior,Dart; TypeScript; R; Python,Outros; Comunidades/Fóruns; Projetos pessoais; Tutoriais YouTube,Times pequenos; Laboratório; Freelancer,AWS; VS Code; IntelliJ; Figma; GitHub,Uso diariamente,Dinheiro; Resolver problemas; Comunidade,Escalabilidade; Infraestrutura; Deploy; Bugs difíceis,Flutter; Kotlin; Cloud AWS,Paixão; Propósito; Impacto social; Comunidade; Desafios
QO91DL,02/02/2024 01:57,UX/UI,Java; PHP; Rust; TypeScript,Documentação oficial; Mentoria,Governo; Clima flexível,Bitbucket; Figma,Uso para documentação,Comunidade; Estabilidade,Ferramentas novas; Bugs difíceis; Documentação; Deploy,Data Science; Swift; Kotlin; Cloud AWS,Empreender; Comunidade
